delta,pctl
34.80399,7.875572
34.80185,7.875839
34.80158,7.881708
34.79972,7.881974
34.79945,7.882241
34.79625,7.882508
34.79491,7.885176
34.79438,7.885976
34.79358,7.886243
34.79091,7.886509
34.78718,7.892111
34.78611,7.895312
34.78505,7.895579
34.78185,7.910518
34.78051,7.911585
34.77917,7.911852
34.77704,7.919054
34.77544,7.925456
34.77491,7.92679
34.77144,7.928391
34.76611,7.933459
34.75703,7.940662
34.7565,7.941195
34.7509,7.970539
34.7437,7.980943
34.73169,7.993747
34.73116,7.995081
34.72796,8.003084
34.72529,8.003351
34.72342,8.003884
34.72235,8.004151
34.72102,8.005218
34.71489,8.006552
34.71435,8.006818
34.71302,8.022824
34.71169,8.023358
34.71115,8.023891
34.70608,8.028159
34.70048,8.02896
34.69915,8.030027
34.69675,8.030293
34.69648,8.03056
34.69541,8.030827
34.69408,8.031094
34.69355,8.036429
34.69328,8.037496
34.69114,8.038296
34.68954,8.039363
34.68901,8.039897
34.68794,8.041497
34.68208,8.044698
34.67647,8.044965
34.6762,8.046299
34.67007,8.052168
34.6674,8.052434
34.66287,8.063905
34.6626,8.073775
34.661,8.092182
34.65967,8.098317
34.653,8.105253
34.64606,8.10552
34.63966,8.106053
