wpm,pctl
186.83,0.7085161
186.76,0.7087828
186.7,0.7090496
186.4,0.7165189
186.39,0.7202535
186.38,0.7229211
186.37,0.7258555
186.36,0.7287899
186.35,0.730924
186.34,0.7322578
186.33,0.7325245
186.32,0.7338583
186.31,0.7357256
186.3,0.7365259
186.29,0.737593
186.28,0.7415944
186.27,0.7423947
186.26,0.7431949
186.24,0.7437285
186.23,0.7439952
186.19,0.744262
186.15,0.7450623
186.08,0.745329
186.02,0.7455958
185.95,0.7458625
185.6,0.7546656
185.59,0.7586671
185.58,0.7634687
185.57,0.7664031
185.56,0.7693375
185.55,0.7712048
185.54,0.7733389
185.53,0.775473
185.52,0.77654
185.51,0.7781406
185.5,0.7784073
185.49,0.7792076
185.48,0.7869437
185.47,0.787744
185.46,0.7882775
185.45,0.7896113
185.44,0.789878
185.43,0.7901448
185.42,0.7906783
185.41,0.7909451
185.4,0.7912118
185.39,0.7914786
185.37,0.7920121
185.35,0.7925456
185.28,0.7928124
185.27,0.7930792
184.8,0.8013487
184.79,0.8050834
184.78,0.8082845
184.77,0.8096183
184.76,0.8130862
184.75,0.8170876
184.74,0.8189549
184.73,0.821089
184.72,0.8229563
184.71,0.8242902
184.7,0.8248237
184.69,0.8258907
184.68,0.8309592
184.67,0.8317594
184.66,0.832293
184.64,0.8325597
184.62,0.8328265
184.6,0.8336268
184.57,0.8338935
184.56,0.8341603
184.55,0.8346938
184.53,0.8354941
184.5,0.8357609
184.43,0.8360276
184.42,0.8362944
184.34,0.8365611
184,0.8453642
183.99,0.8506994
183.98,0.8552344
183.97,0.8584355
183.96,0.8611031
183.95,0.8632372
183.94,0.8664383
183.93,0.8688392
183.92,0.8699062
183.91,0.8717735
183.9,0.8736409
183.89,0.8747079
183.88,0.8821772
183.87,0.8829775
183.86,0.883511
183.85,0.8837778
183.84,0.8840445
183.83,0.884578
183.81,0.8848448
183.77,0.8851116
183.71,0.8853783
183.68,0.8856451
183.67,0.8859118
183.63,0.8861786
183.55,0.8864454
183.51,0.8869789
183.45,0.8872456
183.39,0.8875124
183.2,0.8949817
183.19,0.8997834
183.18,0.9037848
183.17,0.9077862
183.16,0.9109873
183.15,0.9144552
183.14,0.9179231
183.13,0.920324
183.12,0.9211242
183.11,0.9221913
183.1,0.9229916
183.09,0.9232583
183.08,0.9304609
183.06,0.9309944
183.05,0.9315279
183.03,0.9317947
183.02,0.9323282
182.99,0.9325949
182.96,0.9339287
182.95,0.9341955
182.88,0.9344623
182.76,0.934729
182.4,0.9416648
182.39,0.9494009
182.38,0.9576704
182.37,0.960338
182.36,0.9638059
182.35,0.9670071
182.34,0.9691411
182.33,0.9712752
182.32,0.972609
182.31,0.9742096
182.3,0.9752766
182.29,0.9760769
182.28,0.9843465
182.27,0.9851468
182.26,0.9856803
182.25,0.9862138
182.23,0.9872809
182.22,0.9875476
182.21,0.9883479
182.18,0.9886147
182.17,0.9888814
182.16,0.9894149
182.12,0.9896817
182.11,0.9899485
182.04,0.9907487
181.91,0.9910155
181.83,0.9912823
181.8,0.991549
181.6,1.002486
181.59,1.008355
181.58,1.012623
181.57,1.016891
181.56,1.020092
181.55,1.022493
181.54,1.024361
181.53,1.028095
181.52,1.029162
181.51,1.030229
181.5,1.031563
181.49,1.032363
181.48,1.039566
181.46,1.040099
181.45,1.040366
181.44,1.040633
181.43,1.041967
181.42,1.0425
181.41,1.042767
181.4,1.043034
181.39,1.043567
181.37,1.043834
181.36,1.044101
181.34,1.044368
181.32,1.044634
181.24,1.044901
181.18,1.045168
180.83,1.045435
180.8,1.055838
180.79,1.05984
180.78,1.065975
180.77,1.070243
180.76,1.075579
180.75,1.08038
180.74,1.085449
180.73,1.088917
180.72,1.09025
180.71,1.090784
180.7,1.092385
180.69,1.093452
180.68,1.100654
180.67,1.101454
180.66,1.102255
180.65,1.102521
180.64,1.103055
180.63,1.104122
180.62,1.104389
180.61,1.104656
180.6,1.104922
180.58,1.105189
180.56,1.106256
180.55,1.106523
180.45,1.10679
180.44,1.107323
180.41,1.10759
180.34,1.107857
180.32,1.10839
180.2,1.108657
